thickness,size,materials,dielect1,lambda_max_1,intensity_1,fwhm_1,lambda_max_2,intensity_2,fwhm_2,lambda_max_3,intensity_3,fwhm_3,centroid,spectral_variance,integrated_area,skewness,peak_sep_12,peak_sep_23,intensity_ratio_2_to_1,intensity_ratio_3_to_1
4.0,50,2.6,10.4,578.903,0.018856755670553442,77.46625226379956,341.778,0.013901816707812173,,478.436,0.00926276601818467,200.37247987224646,510.59743917017494,22900.53486351672,3.7051000885449086,1.1166605420476368,-237.125,136.65799999999996,0.7372326900072814,0.491217374823885
4.0,51,2.6,10.4,576.561,0.016461927256458044,72.35512602417339,344.176,0.011645478101529258,,361.747,0.009857212588624433,,501.2096052589839,19773.102013590487,3.1899112501086284,0.9704139701393311,-232.38500000000005,17.571000000000026,0.7074188775169515,0.5987884914724934
4.0,51,2.6,10.4,584.364,0.01984941032445599,69.92426921675121,335.38,0.012934490481334934,62.12931817827837,350.568,0.010529699416291885,69.506901653184,526.6923255074494,21099.564032990293,3.3699128246210024,1.3281271370341328,-248.98400000000004,15.187999999999988,0.651630968875617,0.5304792053856879
4.0,51,2.6,10.4,564.063,0.01526537917622,68.29922586965472,345.774,0.010082414292912815,,480.014,0.006801778378391236,171.17234816679536,486.1698015319834,21836.265833799924,2.675463572669227,2.2100772812745917,-218.289,134.24,0.6604758503882387,0.4455689111860952
4.0,52,2.6,10.4,549.98,0.015742858339028384,127.60207490341963,343.376,0.011521432106030384,,354.562,0.0112187204865719,,492.1729601907358,21725.805267350475,2.897993367806266,1.0107970787941976,-206.60400000000004,11.186000000000035,0.7318513485868959,0.7126228442746882
4.0,50,2.6,10.4,568.752,0.019024559478110444,59.63579393168595,332.98,0.013957014662116903,,323.376,0.013458913698893883,,503.6653877374156,22354.270503329328,3.110106403733587,1.2600530440101734,-235.77199999999993,-9.604000000000042,0.7336314240640247,0.707449426851625
4.0,51,2.6,10.4,564.063,0.018230137280318633,62.26093820338599,477.646,0.009619862861366395,161.65427723319772,333.78,0.00614948444268443,76.2989267779667,505.8225310338652,10941.751319848017,2.3662090292979006,1.5716509914782748,-86.41699999999997,-143.86600000000004,0.5276900943446025,0.3373251856596522
4.0,52,2.6,10.4,572.658,0.02204208432449909,59.88056317599808,481.592,0.008918965220841773,179.17777208520778,,,,511.2998419062185,13150.753385004158,2.8924480740528944,1.6795604799650772,-91.06600000000003,,0.4046334770132705,
4.0,50,2.6,10.4,571.877,0.01766429599644249,62.42237856826557,485.536,0.007356079726248048,171.67632455366805,331.38,0.005506837993202963,,517.598632262907,13113.632735295372,2.298384705461563,1.7231274231858609,-86.34099999999995,-154.156,0.41643775261292776,0.31174964427181334
4.0,54,2.6,10.4,575.781,0.014626900764026186,67.72158403115077,481.592,0.008427152738216336,174.37623566792837,337.78,0.005865021776195167,,508.1642302786677,13524.3732848399,2.1986348391728874,1.2931244487604627,-94.18899999999996,-143.812,0.576140692698368,0.40097501656808715
4.0,53,2.6,10.4,573.438,0.023619266189072598,65.44724374981593,467.38,0.010096679704651518,195.4981164750107,344.176,0.007775060347090191,,514.2455043370118,12363.611491464035,3.386771997285128,1.5234739180033026,-106.05799999999999,-123.20400000000001,0.4274764348658184,0.32918297650954564
4.0,50,2.6,10.4,571.096,0.014440678964458147,155.62584770908342,480.803,0.009085309507616286,189.61889939175848,341.778,0.005137020856114792,,513.6154735403643,13021.739076456293,2.52602242894265,1.076852828888542,-90.293,-139.02499999999998,0.6291469763975319,0.35573264032516677
4.0,48,2.6,10.4,567.189,0.008427989974149418,126.2178781007014,328.98,0.0043190177012374315,,,,,510.432237272285,13729.71018305439,1.3081037808492304,1.2633510452008272,-238.20899999999995,,0.5124611816678534,
4.0,49,2.6,10.4,576.561,0.010531126493685043,71.75231618659802,472.119,0.006084614709043328,181.2572486431667,331.38,0.004774897745834592,74.79610567863688,515.508939138701,15409.620708190507,1.67908035203023,1.2324845662004584,-104.44200000000001,-140.73900000000003,0.5777743447191475,0.4534080707033426
4.0,45,2.6,10.4,563.281,0.012091901018305345,71.29308549215557,344.176,0.004376388316230429,,716.574,0.000643979215206528,71.56182321684173,513.6166649166383,14842.496959734475,1.7269664636966795,1.5495424855365794,-219.10499999999996,372.39799999999997,0.36192723622242906,0.053257069689177816
4.0,50,2.6,10.4,549.98,0.012674480828938597,110.14986367949598,336.18,0.005169504326100924,61.973133045267446,,,,500.0243380386605,11157.350243627518,1.7360858931240577,1.5175585587848466,-213.8,,0.40786714626589055,
4.0,50,2.6,10.4,578.122,0.011396126810124394,82.46184212115963,487.902,0.005477712603202265,189.031647251861,360.949,0.00345974091810849,86.15562700751508,526.1046667550153,11732.292857694047,1.693129286680714,1.4432092556232317,-90.21999999999997,-126.95299999999997,0.4806644129596583,0.30358919093764675
4.0,60,2.6,10.4,611.612,0.03558870579314939,65.27940881416657,473.699,0.01368500726741643,225.31477773909512,341.778,0.011761977394535345,,538.46944322639,13876.65548333755,4.960121422835671,1.6882454642669031,-137.91299999999995,-131.921,0.38453231053012077,0.33049747475783325
4.0,53,2.6,10.4,582.024,0.01986311045118854,99.84419509530198,336.18,0.010427352455678836,88.20211350808239,483.17,0.010176048311767385,238.76877506237952,538.5156814833158,20005.678192576568,3.930367288922637,1.0873827829386722,-245.844,146.99,0.5249607044829627,0.5123089023128542
4.0,50,2.6,10.4,575.781,0.021735015389191974,58.7643613656428,344.975,0.007452536539438759,,502.871,0.00724435338917913,171.96576027411874,532.9947316301447,17028.528185837204,2.715754194852352,2.021397912054914,-230.80599999999993,157.89599999999996,0.3428815855885997,0.33330334759189917
