size,thickness,materials,dielect1,Spectrum,Amplitude_1,Mean_1,Sigma_1,FWHM_1,Amplitude_2,Mean_2,Sigma_2,FWHM_2,Amplitude_3,Mean_3,Sigma_3,FWHM_3,Baseline,RMSE,R_squared,Peak12_lambda_ratio,Peak23_lambda_ratio,Peak13_lambda_ratio,Peak12_amp_ratio,Peak23_amp_ratio,Peak13_amp_ratio,Peak12_area_ratio,Peak23_area_ratio,Peak13_area_ratio,Skewness_1,Skewness_2,Skewness_3,Avg_skewness,Max_skewness,Asymmetry_1,Asymmetry_2,Asymmetry_3,Avg_asymmetry,Max_asymmetry,Area_1,Area_2,Area_3,Total_area,Area_ratio_max_min,Peak12_separation,Peak23_separation,Peak13_separation,Peak12_norm_separation,Peak23_norm_separation,Peak13_norm_separation,Mean_separation,Separation_std,Dominant_peak_idx,Dominance_ratio,Second_dominant_ratio,Peak_uniformity,Peak_width_ratio_max_min,Avg_FWHM,FWHM_std,Center_of_mass,Spectral_span
50,4.0,2.6,10.4,0,0.01790248862551847,581.3256769264981,27.99214518474602,65.91646332394362,0.0109425720941654,333.7453138446727,13.807230575896494,32.513542704732586,0.007923114844677427,479.71015158393266,42.9367391078663,101.10829198598573,0.0007107520639990271,0.00105761644344926,0.9560786757180968,1.7418242378584432,0.6957228500222999,1.2118269230011596,1.636040257067174,1.3810947046169484,2.2595265562245777,3.3423049559738334,0.4407396476378969,1.4730863089873356,0.39526972595142684,0.2436140106403223,0.39308845723050584,0.343990731274085,0.39526972595142684,1.0000203441114326,0.9999899881541512,0.9999959500688081,1.000002094111464,1.0000203441114326,1.2526985844664191,0.3748008038264704,0.8503904874251873,2.477889875718077,3.3423049559738334,247.5803630818254,145.96483773925996,101.61552534256543,1.0,0.5895654886450689,0.4104345113549311,196.77260041054268,50.80776267128272,1,1.636040272018323,1.3810947046169484,2.933061458185645,3.1097285492444557,66.51276600488731,28.00686332437069,524.2995408321834,247.5803630818254
51,4.0,2.6,10.4,1,0.016285894845434894,575.9702981952823,29.292751781946006,68.97915775116209,0.005507608644671189,356.5554002377833,20.24406098987119,47.67111970016848,0.008356645673156764,474.76778098490064,36.026453333333336,84.83581283840002,1.9504345774053834e-05,0.0011745664480953494,0.933915844930446,1.6153739301410437,0.7510101032931045,1.2131621421325534,2.9569810784384583,0.6590692957649038,1.948855472341365,4.285786550767316,0.36971061294647983,1.5845007732114715,0.3900538581118039,0.3364448225097162,0.39198917289824153,0.3728292845065872,0.39198917289824153,1.0000121044040462,1.0000026559306154,0.9999977695071601,1.0000041766139407,1.0000121044040462,1.1924042786538602,0.2782229735663799,0.7525425665010191,2.223169818721259,4.285786550767316,219.41489795749902,118.21238074711732,101.2025172103817,1.0,0.5387618700805595,0.4612381299194404,168.81363935230817,50.60125860519085,1,1.9488554956623902,1.5172910895753302,2.203846080929153,1.779606046008191,67.16203009657686,15.22673238528263,511.9064374646529,219.41489795749902
51,4.0,2.6,10.4,2,0.019458861970812688,584.3116413665938,25.05336522959476,58.99616550995434,0.008022877062854655,488.21644991919396,42.986533333333334,101.22554842400001,0.003787904640617237,343.3565145102429,10.746633333333337,25.30638710600001,0.0003829645930536881,0.0012645460730907104,0.9403552963777825,1.1968290733816633,1.4218936565552989,1.7017636674226917,2.425421899877244,2.1180250328965062,5.137104363306105,1.4134537355369843,8.473949207398716,11.977535163337691,0.39257786422836893,0.3944074206652676,0.39642267861067576,0.39446932116810407,0.39642267861067576,0.999999356485374,0.9999970888049526,1.0000157107144556,1.000004052001594,1.0000157107144556,1.2185677993831718,0.8621207533042327,0.10173777672683108,2.182426329414236,11.977535163337691,96.09519144739983,144.85993540895106,240.9551268563509,0.3988094908007019,0.6011905091992981,1.0,120.47756342817544,24.382371980775616,1,2.425421930108567,2.1180250328965062,1.574751192263978,3.9999999999999987,61.84270034665145,31.059156827356887,563.9263263405899,240.9551268563509
51,4.0,2.6,10.4,3,0.015619972617360617,563.1049443057167,25.287272799217433,59.5469757330532,0.007059599590407129,477.21825321475313,28.08081607479848,66.12526730925696,0.0033535736853846625,356.2273131840076,11.724107203107932,27.608162124022623,0.00011334254146507978,0.002271039361700643,0.7482750069798668,1.1799736085371313,1.3396453207059793,1.5807461232336482,2.212586166689546,2.1050974399829334,4.65770954121678,1.992544451367266,5.042895193927926,10.048192839515735,0.390501454951269,0.3881454027998279,0.3894394949431292,0.389362117564742,0.390501454951269,0.9999834262893776,1.0000009299379033,1.0000487715696722,1.0000110425989843,1.0000487715696722,0.9872551377607648,0.49547458621766993,0.09825200934375435,1.5809817333221892,10.048192839515735,85.88669109096355,120.99094003074555,206.8776311217091,0.4151569728697984,0.5848430271302015,1.0,103.43881556085455,17.552124469890998,1,2.212586198031071,2.1050974399829334,1.6893277173704548,2.395134707345098,51.09346838877759,16.822369785048966,486.5727980591216,206.8776311217091
52,4.0,2.6,10.4,4,0.016144300499759453,552.056390105857,23.682066534379434,55.76700391648738,0.010755430197762431,475.52380487185115,27.3872167803562,64.4919658187184,0.005410147486881163,314.97500000211437,37.562394687559596,88.4526782581591,5.277530996963106e-05,0.0011953940381930275,0.9315235756049032,1.1609437518159884,1.509719199519035,1.752699071678628,1.5010371554467818,1.9880104978730744,2.984077650470587,1.2978619628606098,2.2434188317956454,2.9116479689482246,0.38723644154462505,0.3900357956229103,0.1522407258803684,0.3098376543493013,0.3900357956229103,1.00002223528054,0.9999915876618226,3.150626303867937,1.7168800422700998,3.150626303867937,0.9555468430720402,0.7362468970399123,0.3281807598210603,2.0199744999330127,2.9116479689482246,76.53258523400581,160.54880486973678,237.0813901037426,0.3228114412544844,0.6771885587455155,1.0,118.5406950518713,42.00810981786549,1,1.5010371694028684,1.9880104978730744,2.457653880696288,1.5861113570063654,69.57054933112163,13.818642834031486,494.9567994444351,237.0813901037426
50,4.0,2.6,10.4,5,0.017458321161326052,564.3419140772462,27.02559999999558,63.6404233919896,0.010005197283790008,319.4172411983385,12.985237626074712,30.577897266633254,0.007975422797067283,358.77581055919933,12.281791662306814,28.921408642233335,0.00116644372199761,0.002104734330870086,0.8197547900795219,1.7667860130525888,0.8902975947581183,1.5729653378734976,1.7449252115316862,1.2545036686981341,2.1890151013491477,3.9316751691908136,1.2254048359534055,4.8178937673306494,0.38816506142816254,-0.09692598508198967,0.3865040305813638,0.22591436897584552,0.38816506142816254,0.9999907199280994,1.0000635579171209,1.0000670759426118,1.0000404512626107,1.0000670759426118,1.1792548973365835,0.2999370106117187,0.24476564943194243,1.7239575573802446,4.8178937673306494,244.9246728789077,39.35856936086083,205.56610351804687,1.0,0.16069662928699696,0.8393033707130031,142.14162111988426,102.78305175902344,1,1.7449252289718742,1.2545036686981341,2.8974975142287778,2.200460709892837,41.04657643361873,15.99056865622994,494.77985098031814,244.9246728789077
51,4.0,2.6,10.4,6,0.01927506367154026,564.6615780137694,21.508422568416098,50.6484636325576,0.009981308686757317,481.34922853067985,32.87239729195595,77.4085785910437,0.005952941092975216,339.5118500118426,32.36038274057717,76.20287648516594,-7.53397533020471e-05,0.0005755021559481942,0.9858808080038408,1.1730808829532842,1.4177685654086831,1.6631572005333743,1.9311158569819435,1.6767020474745808,3.2379059437519477,1.2634383345342466,1.9256569016708078,2.4329487490279953,0.39019308214484594,0.39102669983668176,-0.13405246806921134,0.2157224379707721,0.39102669983668176,0.9999872220538734,0.9999938349521474,0.987741106089148,0.9959073876983896,0.9999938349521474,1.03618804164391,0.8201334510714733,0.42589801442163133,2.2822195071370146,2.4329487490279953,83.31234948308952,141.83737851883723,225.14972800192675,0.37003086889084125,0.6299691311091588,1.0,112.57486400096337,29.262514517873853,1,1.9311158763292648,1.6767020474745808,2.103856257544096,1.5283499841697923,68.08663956958908,12.340473097364821,490.38286488549494,225.14972800192675
52,4.0,2.6,10.4,7,0.022794641246178998,573.7331193403758,20.935276956238727,49.298808882090086,0.008951106349348453,486.2228733805088,38.037301518346965,89.57099836143381,0.00757590849497767,325.2767435591483,39.580372366412206,93.2046524558748,0.00030233175550629314,0.0006461473143051185,0.9860973744622787,1.1799796980987876,1.4947975316653543,1.7638307401336604,2.5465724684615063,1.1815224850102402,3.0088326648093866,1.401451199469529,1.5526293497567196,2.1759342648038102,0.392015373608541,0.39362166531219367,0.014644732665956102,0.26676059052889695,0.39362166531219367,0.9999756661751142,0.9999994614988685,1.9147217078609,1.3048989451782942,1.9147217078609,1.1927773168645004,0.8511015704120415,0.5481679000787516,2.5920467873552937,2.1759342648038102,87.51024595986695,160.9461298213605,248.45637578122745,0.3522157388181581,0.6477842611818418,1.0,124.22818789061373,36.717941930746775,1,2.546572496911313,1.1815224850102402,1.9070564325162105,1.8906065799438696,77.3581532331329,19.896330726666,504.4962845278584,248.45637578122745
50,4.0,2.6,10.4,8,0.018258444001305604,574.3090417225426,22.170681034514676,52.207963113695854,0.007760197250060721,488.12483361319823,33.86746666666666,79.75178785599998,0.005251222919579532,335.7696005835445,33.86746666666662,79.75178785599991,0.00014632367417088802,0.000640197411559926,0.9792448725177755,1.176561818154741,1.4537493351534072,1.710425960909689,2.352832431660097,1.4777885496628715,3.4769888715881594,1.5401815686454643,1.7401538901786755,2.680152948667911,0.388043924048891,0.38716849267983294,-0.12870215075888145,0.2155034219899475,0.388043924048891,1.0000057965581775,0.999990291295471,1.144862999373231,1.0482863624089598,1.144862999373231,1.0117169970522264,0.6568816414210032,0.377484798875771,2.046083437349001,2.680152948667911,86.18420810934435,152.35523302965373,238.5394411389981,0.3612996144278061,0.6387003855721939,1.0,119.26972056949904,33.08551246015469,1,2.3528324619793315,1.4777885496628715,1.8500095340449925,1.5275789956087844,70.57051294189858,12.984283503398022,504.78781637271544,238.5394411389981
54,4.0,2.6,10.4,9,0.014602426453230021,574.7320125478547,25.137200000000004,59.19358130400001,0.00840881636449808,482.27060658358056,37.72711974513238,88.84057611823263,0.005657493125153435,334.0150619756995,34.24689114435302,80.64526420454538,-0.00016422070651414493,0.0005090046435582416,0.9840889969299044,1.1917210062192143,1.4438588599292648,1.720676933393788,1.7365614429665919,1.486314880080131,2.581077143549561,1.156966678980054,1.963525966840044,2.2717341172325063,0.38970543594649926,0.3912522039422112,-0.120372119090299,0.2201951735994705,0.3912522039422112,1.000009206071939,0.9999993996012864,1.219050277460035,1.0730196277110868,1.219050277460035,0.917449662480613,0.7929784660468455,0.403854331056622,2.1142824595840803,2.2717341172325063,92.46140596427409,148.25554460788106,240.71695057215516,0.3841084134063035,0.6158915865936965,1.0,120.35847528607758,27.897069321803485,1,1.736561463618267,1.486314880080131,2.5545978117101247,1.5008481352391028,76.22647387559267,12.500142835376414,488.9839254733336,240.71695057215516
