size,thickness,materials,dielect1,Amplitude_1,Mean_1,FWHM_1,Amplitude_2,Mean_2,FWHM_2,Amplitude_3,Mean_3,FWHM_3,Baseline,RMSE,R_squared
50,4.0,2.6,10.4,0.01790248862551847,581.3256769264981,65.91646332394362,0.0109425720941654,333.7453138446727,32.513542704732586,0.007923114844677427,479.71015158393266,101.10829198598573,0.0007107520639990271,0.00105761644344926,0.9560786757180968
51,4.0,2.6,10.4,0.016285894845434894,575.9702981952823,68.97915775116209,0.005507608644671189,356.5554002377833,47.67111970016848,0.008356645673156764,474.76778098490064,84.83581283840002,1.9504345774053834e-05,0.0011745664480953494,0.933915844930446
51,4.0,2.6,10.4,0.019458861970812688,584.3116413665938,58.99616550995434,0.008022877062854655,488.21644991919396,101.22554842400001,0.003787904640617237,343.3565145102429,25.30638710600001,0.0003829645930536881,0.0012645460730907104,0.9403552963777825
51,4.0,2.6,10.4,0.015619972617360617,563.1049443057167,59.5469757330532,0.007059599590407129,477.21825321475313,66.12526730925696,0.0033535736853846625,356.2273131840076,27.608162124022623,0.00011334254146507978,0.002271039361700643,0.7482750069798668
52,4.0,2.6,10.4,0.016144300499759453,552.056390105857,55.76700391648738,0.010755430197762431,475.52380487185115,64.4919658187184,0.005410147486881163,314.97500000211437,88.4526782581591,5.277530996963106e-05,0.0011953940381930275,0.9315235756049032
50,4.0,2.6,10.4,0.017458321161326052,564.3419140772462,63.6404233919896,0.010005197283790008,319.4172411983385,30.577897266633254,0.007975422797067283,358.77581055919933,28.921408642233335,0.00116644372199761,0.002104734330870086,0.8197547900795219
51,4.0,2.6,10.4,0.01927506367154026,564.6615780137694,50.6484636325576,0.009981308686757317,481.34922853067985,77.4085785910437,0.005952941092975216,339.5118500118426,76.20287648516594,-7.53397533020471e-05,0.0005755021559481942,0.9858808080038408
52,4.0,2.6,10.4,0.022794641246178998,573.7331193403758,49.298808882090086,0.008951106349348453,486.2228733805088,89.57099836143381,0.00757590849497767,325.2767435591483,93.2046524558748,0.00030233175550629314,0.0006461473143051185,0.9860973744622787
50,4.0,2.6,10.4,0.018258444001305604,574.3090417225426,52.207963113695854,0.007760197250060721,488.12483361319823,79.75178785599998,0.005251222919579532,335.7696005835445,79.75178785599991,0.00014632367417088802,0.000640197411559926,0.9792448725177755
54,4.0,2.6,10.4,0.014602426453230021,574.7320125478547,59.19358130400001,0.00840881636449808,482.27060658358056,88.84057611823263,0.005657493125153435,334.0150619756995,80.64526420454538,-0.00016422070651414493,0.0005090046435582416,0.9840889969299044
53,4.0,2.6,10.4,0.02345687170387253,572.0300841646158,59.26368638285919,0.010196866476628244,477.1372806306497,88.83411361366568,0.007206201761738046,325.5720509848075,100.00184764155797,0.00039458232826570735,0.0008158657457215023,0.9815144452959731
50,4.0,2.6,10.4,0.014205542113558267,575.7118532969815,66.5408294600907,0.009138504687700584,480.70934276232055,91.08397163805732,0.004714206602853975,329.35300000000007,110.41247219060757,5.6270150427056785e-05,0.0005818128113079383,0.9807953323339952
48,4.0,2.6,10.4,0.008555731224892293,565.3833228554316,73.32164243430077,0.004608893898066525,485.6249632572729,62.70549643046274,0.00338079975571307,335.12008704502887,70.29802040191318,-0.0001340242584708187,0.0003292384855064179,0.9820041894189261
