dataset,target,task_type,model,best_score,best_params,n_samples,n_features,n_cv_folds,timestamp,elapsed_seconds,accuracy,accuracy_std,f1_weighted,f1_weighted_std,precision_weighted,precision_weighted_std,recall_weighted,recall_weighted_std,r2,r2_std,neg_mean_squared_error,neg_mean_squared_error_std,neg_mean_absolute_error,neg_mean_absolute_error_std,mse,rmse,mae
full_spectra,Material,classification,SVM,0.8643478260869566,"{""svc__C"": 10, ""svc__gamma"": ""scale"", ""svc__kernel"": ""rbf""}",575,909,5,2026-01-18 11:54:32,16.991557359695435,0.8643478260869566,0.029921131363626507,0.8635266610137347,0.03078974783738965,0.8640866037488879,0.030884933036855394,0.8643478260869566,0.029921131363626507,,,,,,,,,
full_spectra,Material,classification,Extra Trees,0.8347826086956521,"{""max_depth"": null, ""min_samples_split"": 2, ""n_estimators"": 100}",575,909,5,2026-01-18 11:32:29,17.45788288116455,0.8347826086956521,0.027498066610159806,0.83366322515633,0.029503508027634233,0.8347698378134055,0.030471426051151704,0.8347826086956521,0.027498066610159806,,,,,,,,,
full_spectra,Material,classification,Hist Gradient Boosting,0.8330434782608697,"{""learning_rate"": 0.05, ""max_depth"": 10, ""max_iter"": 200}",575,909,5,2026-01-18 11:54:15,197.47154664993286,0.8330434782608697,0.024223283960320214,0.8312589759436004,0.02592528526442516,0.8349737253683616,0.026962404048558916,0.8330434782608697,0.024223283960320214,,,,,,,,,
full_spectra,Material,classification,Logistic Regression,0.8330434782608697,"{""lr__C"": 1, ""lr__penalty"": ""l2"", ""lr__solver"": ""lbfgs""}",575,909,5,2026-01-18 11:55:03,7.462538957595825,0.8330434782608697,0.04838409649823846,0.8297865870172597,0.051672612351576636,0.8309672031080056,0.051439767242821885,0.8330434782608697,0.04838409649823846,,,,,,,,,
full_spectra,Material,classification,Gradient Boosting,0.8278260869565217,"{""gb__learning_rate"": 0.1, ""gb__max_depth"": 3, ""gb__n_estimators"": 200, ""gb__subsample"": 1.0}",575,909,5,2026-01-18 11:50:57,1108.331627368927,0.8278260869565217,0.016861495156230682,0.8213193536260948,0.018523413361676132,0.82123002947037,0.017377433855347672,0.826086956521739,0.017391304347826052,,,,,,,,,
full_spectra,Material,classification,K-Nearest Neighbors,0.813913043478261,"{""knn__metric"": ""manhattan"", ""knn__n_neighbors"": 3, ""knn__weights"": ""distance""}",575,909,5,2026-01-18 11:54:56,24.188199281692505,0.813913043478261,0.01301446047573546,0.809776710333862,0.012557241869267832,0.8112253206990339,0.014353788709217311,0.813913043478261,0.01301446047573546,,,,,,,,,
full_spectra,Material,classification,Random Forest,0.8104347826086956,"{""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 200}",575,909,5,2026-01-18 11:32:11,173.76239228248596,0.8104347826086956,0.020869565217391306,0.8077296392787001,0.0235709892451882,0.8076361614592098,0.023618848069279542,0.8104347826086956,0.020869565217391306,,,,,,,,,
full_spectra,Thickness,classification,SVM,0.6556521739130434,"{""svc__C"": 10, ""svc__gamma"": ""scale"", ""svc__kernel"": ""rbf""}",575,909,5,2026-01-18 14:27:29,16.752599000930786,0.6556521739130434,0.04653595881829445,0.6545364354784035,0.046717320030620305,0.6687356474299863,0.051259656265204304,0.6556521739130434,0.04653595881829445,,,,,,,,,
full_spectra,Thickness,classification,Hist Gradient Boosting,0.6417391304347826,"{""learning_rate"": 0.1, ""max_depth"": 10, ""max_iter"": 200}",575,909,5,2026-01-18 14:27:13,837.1297993659973,0.6417391304347826,0.02660358007091887,0.6335433081050973,0.024654057444379634,0.6425730386348587,0.027409460007057507,0.6417391304347826,0.02660358007091887,,,,,,,,,
full_spectra,Thickness,classification,Gradient Boosting,0.6278260869565218,"{""gb__learning_rate"": 0.1, ""gb__max_depth"": 5, ""gb__n_estimators"": 200, ""gb__subsample"": 0.8}",575,909,5,2026-01-18 14:13:16,8034.226850986481,0.6278260869565218,0.040188591333187286,0.6119216665996309,0.030821252045050762,0.6497426240700416,0.035230268766908254,0.6278260869565218,0.017735720047279226,,,,,,,,,
